"Fecha","ID region","Region","Mercado","Subsector","Producto","Variedad / Tipo","Calidad","Unidad de comercializacion","Origen","Volumen","Precio minimo","Precio maximo","Precio promedio"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Acelga","Sin especificar","Primera","$/docena de atados","Zona central","300","5474,0000","5950,0000","5712,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Hortalizas y tubérculos","Acelga","Sin especificar","Primera","$/docena de atados","Provincia de Santiago","5","6188,0000","6664,0000","6426,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Acelga","Sin especificar","Segunda","$/docena de atados","Zona central","350","4165,0000","4998,0000","4760,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Hortalizas y tubérculos","Acelga","Sin especificar","Segunda","$/docena de atados","Provincia de Santiago","4","5117,0000","5593,0000","5355,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Hortalizas y tubérculos","Achicoria","Sin especificar","Primera","$/cien","Provincia de Santiago","300","19040,0000","20230,0000","19635,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Ají","Sin especificar","Primera","$/kilo","Centro-norte","3800","511,7000","559,3000","535,5000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Ají","Americana (o)","Primera","$/kilo","Provincia de Limarí","1400","654,5000","714,0000","690,2000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Hortalizas y tubérculos","Ají","Chilena(o)","Segunda","$/kilo","Centro-norte","150","928,2000","987,7000","952,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Ají","Sin especificar","Segunda","$/kilo","Centro-norte","2000","380,8000","452,2000","428,4000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Ají","Chilena(o)","Segunda","$/kilo","Provincia de Huasco","1600","773,5000","833,0000","797,3000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Ají","Americana (o)","Segunda","$/kilo","Provincia de Limarí","800","547,4000","595,0000","571,2000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Ají","Chilena(o)","Tercera","$/kilo","Provincia de Huasco","700","595,0000","714,0000","654,5000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Hortalizas y tubérculos","Ajo","Chino","Primera","$/mil en rama","Provincia de Santiago","800","49980,0000","54740,0000","52360,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Ajo","Chino","Primera","$/mil en rama","Valpo.-Stgo.","145000","41650,0000","47600,0000","45220,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Ajo","Chino","Segunda","$/mil en rama","Valpo.-Stgo.","165000","21420,0000","30940,0000","28560,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Ajo","Chino","Segunda","$/caja 10 kilos","China","600","4522,0000","4998,0000","4760,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Ajo","Chino","Tercera","$/mil en rama","Valpo.-Stgo.","110000","11900,0000","16660,0000","14280,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega Central Mapocho de Santiago","Hortalizas y tubérculos","Albahaca","Sin especificar","Primera","$/cien matas","Provincia de Santiago","400","14875,0000","14875,0000","14875,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Albahaca","Sin especificar","Primera","$/cien matas","Provincia de Santiago","7500","8330,0000","9282,0000","8687,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega Central Mapocho de Santiago","Hortalizas y tubérculos","Albahaca","Sin especificar","Segunda","$/cien matas","Provincia de Santiago","300","10948,0000","10948,0000","10948,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Albahaca","Sin especificar","Segunda","$/cien matas","Provincia de Santiago","3200","7140,0000","7735,0000","7140,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega Central Mapocho de Santiago","Frutas","Plátano","Sin especificar","Pintón","$/caja 20 kilos","Ecuador","700","4700,0000","5000,0000","4799,9999"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Frutas","Plátano","Sin especificar","Pintón","$/caja 20 kilos","Ecuador","1800","4799,9999","5500,0000","5000,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Frutas","Plátano","Sin especificar","Pintón","$/caja 20 kilos","Ecuador","190","5000,0000","5500,0000","5200,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega Central Mapocho de Santiago","Frutas","Plátano","Sin especificar","Maduro","$/caja 20 kilos","Ecuador","1500","4400,0000","4700,0000","4500,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Frutas","Plátano","Sin especificar","Maduro","$/caja 20 kilos","Ecuador","2380","4700,0000","5000,0000","4799,9999"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Frutas","Plátano","Sin especificar","Maduro","$/caja 20 kilos","Ecuador","330","4799,9999","5000,0000","4799,9999"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Berenjena","Sin especificar","Segunda","$/cien","Centro-norte","2500","8092,0000","8925,0000","8330,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Betarraga","Sin especificar","Primera","$/mil (volumen en unidades)","Centro-norte","90000","39270,0000","45220,0000","41650,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega Central Mapocho de Santiago","Hortalizas y tubérculos","Betarraga","Sin especificar","Primera","$/mil (volumen en unidades)","Provincia de Santiago","4000","53550,0000","53550,0000","53550,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Hortalizas y tubérculos","Betarraga","Sin especificar","Primera","$/mil (volumen en unidades)","Provincia de Santiago","2000","45220,0000","53550,0000","49980,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Betarraga","Sin especificar","Segunda","$/mil (volumen en unidades)","Centro-norte","135000","21420,0000","26180,0000","23800,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega Central Mapocho de Santiago","Hortalizas y tubérculos","Betarraga","Sin especificar","Segunda","$/mil (volumen en unidades)","Provincia de Santiago","6000","41650,0000","41650,0000","41650,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Hortalizas y tubérculos","Betarraga","Sin especificar","Segunda","$/mil (volumen en unidades)","Provincia de Santiago","1500","30940,0000","38080,0000","33320,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Brócoli","Sin especificar","Segunda","$/cien","Zona central","3800","11900,0000","14280,0000","12495,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Cebolla","Valencianita","Primera","$/cien en rama (volumen en unidades)","Zona central","130000","2975,0000","4760,0000","3570,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Cebolla","Sin especificar","Primera","$/cien en rama (volumen en unidades)","Zona central","180000","3213,0000","3808,0000","3570,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Cebolla","Sin especificar","Primera","$/malla 18 kilos","Zona central","1100","1666,0000","1904,0000","1785,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega Central Mapocho de Santiago","Hortalizas y tubérculos","Cebolla","Sin especificar","Primera","$/cien en rama (volumen en unidades)","Provincia de Santiago","9000","3332,0000","3570,0000","3332,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Hortalizas y tubérculos","Cebolla","Sin especificar","Primera","$/cien en rama (volumen en unidades)","Provincia de Santiago","1000","4165,0000","4760,0000","4522,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Cebolla","Valencianita","Segunda","$/cien en rama (volumen en unidades)","Zona central","100000","1428,0000","2499,0000","1904,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Cebolla","Sin especificar","Segunda","$/cien en rama (volumen en unidades)","Zona central","115000","1666,0000","2737,0000","2261,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Cebolla","Sin especificar","Segunda","$/malla 18 kilos","Zona central","1300","952,0000","1428,0000","1190,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega Central Mapocho de Santiago","Hortalizas y tubérculos","Cebolla","Sin especificar","Segunda","$/cien en rama (volumen en unidades)","Provincia de Santiago","4000","2380,0000","2380,0000","2380,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Hortalizas y tubérculos","Cebolla","Sin especificar","Segunda","$/cien en rama (volumen en unidades)","Provincia de Santiago","700","2856,0000","3332,0000","3094,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Cebolla","Valenciana","1a (guarda)","$/cien","Zona central","3000","7140,0000","7735,0000","7378,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Cebolla","Valenciana","2a (guarda)","$/cien","Zona central","5000","5355,0000","5950,0000","5712,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Frutas","Cereza","Santina","Primera","$/bandeja 10 kilos","Provincia de Curicó","60","4500,0000","4500,0000","4500,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Frutas","Cereza","Santina","Primera","$/bandeja 10 kilos","Provincia de Curicó","35","4500,0000","4799,9999","4500,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Frutas","Cereza","Rainier","Segunda","$/bandeja 10 kilos","Provincia de Santiago","30","3700,0000","4000,0000","3700,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Frutas","Cereza","Rainier","Segunda","$/bandeja 10 kilos","Provincia de Curicó","100","3500,0000","4000,0000","3500,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega Central Mapocho de Santiago","Hortalizas y tubérculos","Choclo","Choclero","Primera","$/cien","Zona central","3000","17850,0000","17850,0000","17850,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Vega poniente de Santiago","Hortalizas y tubérculos","Choclo","Choclero","Primera","$/cien","Zona central","800","7140,0000","8330,0000","7735,0000"
"2008-01-02","13","Región Metropolitana de Santiago","Mercado Mayorista Lo Valledor de Santiago","Hortalizas y tubérculos","Choclo","Choclero","Primera","$/cien","Centro-norte","85000","14280,0000","15470,0000","14994,0000"
