Fecha,ID region,Region,Mercado,Subsector,Producto,Variedad / Tipo,Calidad,Unidad de comercializacion,Origen,Volumen,Precio minimo,Precio maximo,Precio promedio
1994-03-01,13,Región Metropolitana de Santiago,Vega Central Mapocho de Santiago,Hortalizas y tubérculos,Acelga,Sin especificar,Primera,$/docena de atados,Provincia de Santiago,270,"1652,0000","1888,0000","1652,0000"
1994-03-01,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Acelga,Sin especificar,Primera,$/docena de atados,Provincia de Santiago,1470,"1534,0000","1770,0000","1652,0000"
1994-03-01,13,Región Metropolitana de Santiago,Vega poniente de Santiago,Hortalizas y tubérculos,Acelga,Sin especificar,Primera,$/docena de atados,Provincia de Santiago,25,"1888,0000","1947,0000","1947,0000"
1994-03-01,13,Región Metropolitana de Santiago,Vega Central Mapocho de Santiago,Hortalizas y tubérculos,Acelga,Sin especificar,Segunda,$/docena de atados,Provincia de Santiago,50,"1416,0000","1416,0000","1416,0000"
1994-03-01,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Acelga,Sin especificar,Segunda,$/docena de atados,Provincia de Santiago,660,"1180,0000","1357,0000","1298,0000"
1994-03-01,13,Región Metropolitana de Santiago,Vega poniente de Santiago,Hortalizas y tubérculos,Acelga,Sin especificar,Segunda,$/docena de atados,Provincia de Santiago,15,"1746,4000","1770,0000","1770,0000"
1994-03-01,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Ají,Cacho cabra rojo,Primera,$/kilo,Zona central,4500,"182,9000","194,7000","188,8000"
1994-03-01,13,Región Metropolitana de Santiago,Vega Central Mapocho de Santiago,Hortalizas y tubérculos,Ají,Cristal,Primera,$/kilo,Zona central,575,"141,6000","141,6000","141,6000"
1994-03-01,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Ají,Cristal,Primera,$/kilo,Zona central,23000,"94,4000","106,2000","94,4000"
1994-03-01,13,Región Metropolitana de Santiago,Vega poniente de Santiago,Hortalizas y tubérculos,Ají,Cristal,Primera,$/kilo,Provincia de Santiago,625,"112,1000","118,0000","118,0000"
1994-03-01,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Ají,Cacho cabra rojo,Segunda,$/kilo,Zona central,1750,"118,0000","129,8000","118,0000"
1994-03-01,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Ají,Cristal,Segunda,$/kilo,Zona central,12000,"59,0000","70,8000","59,0000"
1994-03-01,13,Región Metropolitana de Santiago,Vega poniente de Santiago,Hortalizas y tubérculos,Ají,Cristal,Segunda,$/kilo,Provincia de Santiago,125,"82,6000","88,5000","82,6000"
1994-03-01,13,Región Metropolitana de Santiago,Vega Central Mapocho de Santiago,Hortalizas y tubérculos,Ajo,Rosado,1a (cosecha),$/mil (volumen en unidades),Provincia de Santiago,11000,"27140,0000","29500,0000","29500,0000"
1994-03-01,13,Región Metropolitana de Santiago,Mercado Mayorista Lo Valledor de Santiago,Hortalizas y tubérculos,Ajo,Rosado,1a (cosecha),$/mil (volumen en unidades),Valpo.-Stgo.,85000,"24780,0000","27140,0000","27140,0000"
